Project,Bug_id,Average_coverage_buggy_files,Average_coverage_stack_trace_files,Average_all_files_coverage,Average_buggy_methods_coverage,Average_st_methods_coverage
Cli,14,62.67123287671233,61.78449499204299,56.574758482857035,74.19354838709677,78.97069378561062
Cli,5,62.5,57.91666666666667,50.634872357811176,62.5,60.57692307692307
Closure,106,23.61111111111111,N/A,42.655765683017556,0.0,N/A
Closure,125,63.25411334552103,51.5069320782695,47.81572083927343,84.52380952380952,62.6868418489814
Closure,2,60.81818181818182,57.471554765807426,47.00507507522559,55.55555555555556,58.70440387116031
Closure,27,36.56957928802589,N/A,46.40949581262615,0.0,N/A
Closure,34,36.29704734970765,34.88360618869933,46.52246037011285,34.153543307086615,32.77901044926135
Closure,37,44.83341290570206,46.220929223092654,46.51829584835096,42.5,74.6017024591076
Closure,55,15.508021390374331,45.229401194686275,46.48707832386495,0.0,60.0402312116122
Codec,8,63.99655469422911,63.99655469422911,64.65554804855168,51.48484848484848,69.61259079903148
Collections,28,N/A,31.001076426264802,45.875271555300294,N/A,0.0
Compress,1,53.44827586206897,51.690821256038646,50.14530430548659,47.142857142857146,71.21212121212122
Compress,12,58.57740585774059,65.45982681007014,52.899275323401284,65.71428571428571,71.47759103641457
Compress,14,56.626506024096386,59.06316327943724,52.64964850969727,60.0,72.82958711940061
Compress,17,63.09012875536481,59.38762997535004,52.74708307702125,76.66666666666667,38.333333333333336
Compress,18,69.23076923076923,69.23076923076923,52.8116658298041,70.0,69.49701619778345
Compress,23,4.72972972972973,39.54214541563939,51.91769974370159,0.0,47.921052631578945
Compress,32,64.46886446886447,64.46886446886447,51.06817197495049,73.07692307692308,82.27564102564104
Csv,12,N/A,56.16438356164384,59.16398484123804,N/A,74.0
Csv,4,55.39568345323741,55.39568345323741,59.62137115956849,50.0,50.0
Gson,12,69.81132075471699,69.81132075471699,45.255175996733925,77.77777777777777,77.77777777777777
Gson,8,16.666666666666668,16.666666666666668,44.965283324609544,0.0,0.0
JacksonCore,4,73.6842105263158,70.88834803772437,50.361798360177794,80.0,61.08766233766234
JacksonCore,7,49.97769799135608,49.178415619254714,50.4033771101431,49.247409150060804,50.0
JacksonDatabind,104,6.040268456375839,6.040268456375839,20.061522803650874,0.0,0.0
JacksonDatabind,14,32.04903677758319,50.203950695252665,39.582107433057544,53.333333333333336,56.02798491191347
JacksonDatabind,15,53.518668422623136,45.62321062273805,39.536853361717355,48.429487179487175,68.22889901850421
JacksonDatabind,17,34.29864253393665,33.68637715307453,39.845150960779584,0.0,46.54932786511734
JacksonDatabind,25,52.43696011255773,58.22363023893026,39.36245462722616,60.45586527293845,70.12451277577809
JacksonDatabind,28,29.813728517032004,41.83243685094288,39.37661291003147,76.36363636363637,62.087662337662344
JacksonDatabind,32,19.141914191419144,46.52959474388046,39.36324776361863,13.675213675213676,55.222079589216946
JacksonDatabind,58,24.228193207785047,25.675938328999553,20.207162430557574,24.242424242424242,37.61784511784512
JacksonDatabind,61,17.928810172794435,6.334841628959277,19.898941871775694,11.111111111111112,0.0
JacksonDatabind,69,21.21212121212121,22.16442869432519,20.232260406724713,0.0,44.27886002886003
JacksonDatabind,70,22.272727272727273,18.112648221343875,19.91228227509505,40.0,14.814814814814815
JacksonDatabind,72,N/A,8.315143670812763,20.231963137040516,N/A,20.5
JacksonDatabind,9,29.242424242424242,N/A,39.5043934906132,58.57142857142857,N/A
JacksonDatabind,90,3.6144578313253013,5.263317230906186,19.909528859642712,0.0,14.772727272727273
JacksonDatabind,91,31.89189189189189,N/A,19.908195586570308,28.61111111111111,N/A
JacksonDatabind,93,0.0,7.568088534623946,19.865514068599396,0.0,29.562732589048384
JacksonDatabind,98,0.0,3.1480491698220083,20.063384445108305,0.0,0.0
Jsoup,54,22.68041237113402,49.34020618556701,48.44676850325176,0.0,45.82972582972583
Jsoup,78,28.08641975308642,50.3642469430666,46.5348890547824,46.0,59.82722832722833
Jsoup,80,76.13636363636364,59.09655993037063,46.887206291716204,80.0,73.45238095238096
Jsoup,82,60.46511627906977,55.4284483650144,46.90020124315155,92.06349206349206,60.0
Jsoup,84,20.792079207920793,48.05837726629806,46.996830805684404,0.0,56.69191919191918
Jsoup,90,12.898550724637682,12.898550724637682,47.223818996950186,0.0,11.111111111111112
JxPath,5,52.91828793774319,51.59154507249349,48.492335305599056,70.0,68.99019607843137
Mockito,17,44.76190476190476,N/A,46.6373810073696,55.555555555555564,N/A
Mockito,25,43.74534821903242,N/A,46.16048427763475,33.01587301587302,N/A
Mockito,30,20.679844264749924,N/A,47.234434276773065,25.040584415584412,N/A
Mockito,31,23.529411764705884,N/A,47.24153856776482,0.0,N/A
Mockito,4,27.586206896551722,46.4447268251813,46.32029299842589,31.34920634920635,70.5952380952381
Mockito,5,52.459016393442624,N/A,46.1852846221404,65.0,N/A
Time,10,57.02479338842975,60.10717744206315,53.15109100791735,71.42857142857143,78.02767052767052
