Project,Bug Id,Stack Trace (ST) size - N,Number of buggy methods,Position of the first buggy method into the ST,Precision ST Top N,Recall ST Top N,F1 ST Top N,Number of fake failing tests Ochiai1,Number of fake passing tests Ochiai1,Position of the first buggy method into the Ochiai1,Precision Ochiai1 Top N,Recall Ochiai1 Top N,F1 Ochiai1 Top N,Number of fake failing tests Ochiai2,Number of fake passing tests Ochiai2,Position of the first buggy method into the Ochiai2,Precision Ochiai2 Top N,Recall Ochiai2 Top N,F1 Ochiai2 Top N
Cli,14,8,1,5,0.125,1.0,0.2222222222222222,75,468,8,0.125,1.0,0.2222222222222222,3,540,12,0.0,0.0,0.0
Cli,5,3,1,1,0.3333333333333333,1.0,0.5,21,78,34,0.0,0.0,0.0,60,39,3,0.3333333333333333,1.0,0.5
Closure,125,40,1,9,0.025,0.5,0.047619047619047616,7803,354,1113,0.0,0.0,0.0,17,8140,1007,0.0,0.0,0.0
Closure,2,58,1,1,0.017241379310344827,1.0,0.03389830508474576,6618,1209,4371,0.0,0.0,0.0,85,7742,2796,0.0,0.0,0.0
Closure,34,13,2,not found,0.0,0.0,0.0,368,7045,1162,0.0,0.0,0.0,75,7338,1213,0.0,0.0,0.0
Closure,37,13,2,2,0.07692307692307693,0.5,0.13333333333333336,5923,1449,295,0.0,0.0,0.0,329,7043,1000,0.0,0.0,0.0
Closure,55,32,1,not found,0.0,0.0,0.0,3526,3641,not found,0.0,0.0,0.0,3,7164,not found,0.0,0.0,0.0
Codec,8,3,2,1,0.6666666666666666,0.4,0.5,37,266,1,0.3333333333333333,0.2,0.25,4,299,2,0.6666666666666666,0.4,0.5
Compress,1,3,1,not found,0.0,0.0,0.0,1,68,36,0.0,0.0,0.0,1,68,36,0.0,0.0,0.0
Compress,12,29,1,4,0.034482758620689655,1.0,0.06666666666666667,12,303,5,0.034482758620689655,1.0,0.06666666666666667,11,304,4,0.034482758620689655,1.0,0.06666666666666667
Compress,14,32,1,29,0.03125,1.0,0.06060606060606061,4,315,3,0.03125,1.0,0.06060606060606061,20,299,13,0.03125,1.0,0.06060606060606061
Compress,17,3,1,1,0.3333333333333333,1.0,0.5,33,317,1,0.3333333333333333,1.0,0.5,33,317,1,0.3333333333333333,1.0,0.5
Compress,18,19,1,2,0.05263157894736842,1.0,0.1,21,335,216,0.0,0.0,0.0,9,347,2,0.05263157894736842,1.0,0.1
Compress,23,7,1,not found,0.0,0.0,0.0,23,442,not found,0.0,0.0,0.0,4,461,not found,0.0,0.0,0.0
Compress,32,6,1,4,0.16666666666666666,1.0,0.2857142857142857,38,574,235,0.0,0.0,0.0,15,597,1,0.16666666666666666,1.0,0.2857142857142857
Csv,4,3,1,3,0.3333333333333333,1.0,0.5,1,176,1,0.3333333333333333,1.0,0.5,1,176,1,0.3333333333333333,1.0,0.5
Gson,12,1,1,1,1.0,1.0,1.0,9,1006,1,1.0,1.0,1.0,9,1006,1,1.0,1.0,1.0
Gson,8,2,1,not found,0.0,0.0,0.0,0,990,not found,0.0,0.0,0.0,0,990,not found,0.0,0.0,0.0
JacksonCore,4,7,1,1,0.14285714285714285,1.0,0.25,104,134,474,0.0,0.0,0.0,24,214,326,0.0,0.0,0.0
JacksonCore,7,18,5,not found,0.0,0.0,0.0,4,257,30,0.0,0.0,0.0,4,257,30,0.0,0.0,0.0
JacksonDatabind,104,1,1,not found,0.0,0.0,0.0,0,7,2,0.0,0.0,0.0,0,7,2,0.0,0.0,0.0
JacksonDatabind,14,40,1,8,0.025,1.0,0.04878048780487806,413,940,1623,0.0,0.0,0.0,1,1352,457,0.0,0.0,0.0
JacksonDatabind,15,9,4,3,0.1111111111111111,0.125,0.11764705882352941,628,726,105,0.0,0.0,0.0,1,1353,86,0.0,0.0,0.0
JacksonDatabind,17,11,1,not found,0.0,0.0,0.0,690,560,not found,0.0,0.0,0.0,2,1248,not found,0.0,0.0,0.0
JacksonDatabind,25,17,6,not found,0.0,0.0,0.0,878,575,10,0.058823529411764705,0.125,0.07999999999999999,6,1447,146,0.0,0.0,0.0
JacksonDatabind,28,11,2,8,0.09090909090909091,0.5,0.15384615384615385,836,621,1087,0.0,0.0,0.0,4,1453,28,0.0,0.0,0.0
JacksonDatabind,32,9,1,not found,0.0,0.0,0.0,789,680,2614,0.0,0.0,0.0,120,1349,1470,0.0,0.0,0.0
JacksonDatabind,58,6,2,1,0.3333333333333333,1.0,0.5,6,2,74,0.0,0.0,0.0,2,6,2,0.16666666666666666,0.5,0.25
JacksonDatabind,61,7,2,not found,0.0,0.0,0.0,0,7,2,0.2857142857142857,0.6666666666666666,0.4,0,7,2,0.2857142857142857,0.6666666666666666,0.4
JacksonDatabind,69,37,1,not found,0.0,0.0,0.0,4,4,747,0.0,0.0,0.0,2,6,505,0.0,0.0,0.0
JacksonDatabind,70,3,1,1,0.3333333333333333,0.5,0.4,2,5,607,0.0,0.0,0.0,2,5,607,0.0,0.0,0.0
JacksonDatabind,90,7,3,not found,0.0,0.0,0.0,1,6,595,0.0,0.0,0.0,1,6,595,0.0,0.0,0.0
JacksonDatabind,93,20,1,1,0.0,0.0,0.0,2,5,not found,0.0,0.0,0.0,2,5,not found,0.0,0.0,0.0
JacksonDatabind,98,22,2,7,0.0,0.0,0.0,0,7,not found,0.0,0.0,0.0,0,7,not found,0.0,0.0,0.0
Jsoup,54,5,1,not found,0.0,0.0,0.0,385,100,not found,0.0,0.0,0.0,3,482,not found,0.0,0.0,0.0
Jsoup,78,19,2,6,0.05263157894736842,0.5,0.09523809523809525,556,82,317,0.0,0.0,0.0,4,634,60,0.0,0.0,0.0
Jsoup,80,9,1,4,0.1111111111111111,1.0,0.19999999999999998,500,141,745,0.0,0.0,0.0,4,637,255,0.0,0.0,0.0
Jsoup,82,10,1,not found,0.0,0.0,0.0,542,109,312,0.0,0.0,0.0,4,647,274,0.0,0.0,0.0
Jsoup,84,36,1,not found,0.0,0.0,0.0,509,145,not found,0.0,0.0,0.0,5,649,not found,0.0,0.0,0.0
Jsoup,90,8,1,not found,0.0,0.0,0.0,26,645,not found,0.0,0.0,0.0,26,645,not found,0.0,0.0,0.0
JxPath,5,11,1,1,0.09090909090909091,1.0,0.16666666666666669,112,223,223,0.0,0.0,0.0,23,312,2,0.09090909090909091,1.0,0.16666666666666669
Mockito,4,7,1,3,0.14285714285714285,0.14285714285714285,0.14285714285714285,85,1282,13,0.0,0.0,0.0,5,1362,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
Time,10,11,1,4,0.09090909090909091,1.0,0.16666666666666669,2015,1919,948,0.0,0.0,0.0,1,3933,471,0.0,0.0,0.0
