Project,Map Stack Traces,MRR Stack Traces,Map Ochiai1,MRR Ochiai1,Map Ochiai2,MRR Ochiai2
Cli,0.18055555555555555,0.22916666666666666,0.004493787998942638,0.00451779611569559,0.004493787998942638,0.00451779611569559
Closure,0.20516085221967575,0.09346211614410849,0.0001829618029697307,8.347221065549256e-05,0.00016263271375087173,7.419752058266006e-05
Codec,5.0,0.5,0.06382978723404256,0.004273504273504274,0.06382978723404256,0.004273504273504274
Collections,0.0,0.25,0.0,0.00028694404591104734,0.0,0.0
Compress,0.6401360544217687,0.17407407407407408,0.005233225847524607,0.00111092348773006,0.005233225847524607,0.00111092348773006
Csv,0.125,0.3333333333333333,0.004347826086956522,0.00851819631723938,0.004347826086956522,0.0043859649122807015
Gson,0.41666666666666663,0.75,0.0014378747157328922,0.0014399452634197923,0.0014378747157328922,0.0014399452634197923
JacksonCore,10.677884615384617,0.11309523809523808,0.13217492945172835,0.0009735866648474098,0.13217492945172835,0.0009735866648474098
JacksonDatabind,0.7271152224439422,0.1546122994652406,0.002030942663671135,0.000298668161944308,0.002030942663671135,0.00027526047017679316
Jsoup,0.09165181224004754,0.12039565826330532,0.000502442108363991,0.00037898467306677757,0.00041377585394681616,0.0003121050248785227
JxPath,0.1,0.1111111111111111,0.0006954102920723226,0.0006958942240779402,0.0006954102920723226,0.0006958942240779402
Mockito,9.011111111111113,0.2976190476190476,0.0033621517771373678,0.0001201634222542658,0.0033621517771373678,0.0001201634222542658
Time,0.25,0.25,0.0010548523206751054,0.0010548523206751054,0.0021231422505307855,0.0021231422505307855
fastjson,0.0,0.0,0.0,0.0,0.0,0.0
junit4,0.0,0.0,0.0,0.0,0.0,0.0
